_id,comment,label,comment_word
0,"怪不得把六院领导班子免了，这确实是重大责任，六院是传染病医院<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>",0,"[['怪不得', 'd'], ['六院', 'n'], ['领导', 'n'], ['班子', 'n'], ['免', 'v'], ['这', 'r'], ['确实', 'd'], ['是', 'v'], ['重大', 'a'], ['责任', 'n'], ['六院', 'n'], ['是', 'v'], ['传染病', 'n'], ['医院', 'n'], ['裂开', 'v']]"
1,六院院内感染，也是收治境外患者，但跟 南京 没关系！！！,1,"[['六院', 'n'], ['院内', 's'], ['感染', 'v'], ['也是', 'v'], ['收治', 'v'], ['境外', 's'], ['患者', 'n'], ['但', 'c'], ['南京', 'nr'], ['没关系', 'v']]"
2,郑州起码很勇敢，直面问题，也敢说出这些问题,1,"[['郑州', 'LOC'], ['起码', 'd'], ['很', 'd'], ['勇敢', 'a'], ['直面', 'v'], ['问题', 'n'], ['也', 'd'], ['敢', 'v'], ['说出', 'v'], ['这些', 'r'], ['问题', 'n']]"
3,怪不得官方只通报一例的时候医院党委书记就下台了,0,"[['怪不得', 'v'], ['官方', 'n'], ['只', 'd'], ['通报', 'v'], ['时候', 'n'], ['医院', 'n'], ['党委书记', 'n'], ['就', 'd'], ['下台', 'v']]"
4,所以院长被撤了，市卫健委主任也被撤了,0,"[['所以', 'c'], ['院长', 'n'], ['被撤', 'v'], ['市卫健委', 'ORG'], ['主任', 'n'], ['也', 'd'], ['被撤', 'v']]"
5,郑州太难了，刚抗击完洪水，又来要抗击疫情，希望早点好起来�,0,"[['郑州', 'LOC'], ['太难', 'a'], ['刚', 'd'], ['抗击', 'v'], ['完', 'v'], ['洪水', 'n'], ['又', 'd'], ['来', 'v'], ['要', 'v'], ['抗击', 'v'], ['疫情', 'n'], ['希望', 'v'], ['早点', 'n'], ['好', 'a'], ['起来', 'v']]"
6,一个传染病专科医院，竟然出现防疫漏洞，这院感工作存在多大问题,0,"[['传染病', 'n'], ['专科', 'n'], ['医院', 'n'], ['竟然', 'd'], ['出现', 'v'], ['防疫', 'vn'], ['漏洞', 'n'], ['这', 'r'], ['院感', 'n'], ['工作', 'n'], ['存在', 'v'], ['多大', 'a'], ['问题', 'n']]"
7,"7月30号，市六院派出了一组医护人员去中牟、新郑、登封等6个县市开展救助消杀工作。唉 这个要怎么处理<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>",0,"[['月号', 'TIME'], ['市', 'n'], ['六院', 'n'], ['派出', 'v'], ['医护人员', 'n'], ['去', 'v'], ['中牟', 'LOC'], ['新郑', 'LOC'], ['登封', 'LOC'], ['县市', 'n'], ['开展', 'v'], ['救助', 'vn'], ['消杀', 'vn'], ['工作', 'n'], ['这个', 'r'], ['要', 'v'], ['怎么', 'r'], ['处理', 'v'], ['裂开', 'v']]"
8,7月14日，民航局向国航CA910航班（莫斯科至郑州）等航班发出熔断指令。根据通报，7月3日入境的国航CA910航班（莫斯科至郑州）发现确诊新冠肺炎旅客5例。根据公司选择，自7月19日起，分别暂停上述航班运行2周。,0,"[['月日', 'TIME'], ['民航局', 'ORG'], ['国航', 'ORG'], ['航班', 'n'], ['莫斯科', 'LOC'], ['至', 'v'], ['郑州', 'LOC'], ['航班', 'n'], ['发出', 'v'], ['熔断指令', 'nz'], ['通报', 'v'], ['月日', 'TIME'], ['入境', 'v'], ['国航', 'ORG'], ['航班', 'n'], ['莫斯科', 'LOC'], ['至', 'v'], ['郑州', 'LOC'], ['发现', 'v'], ['确诊', 'v'], ['新', 'a'], ['冠', 'n'], ['肺炎', 'n'], ['旅客', 'n'], ['公司', 'n'], ['选择', 'v'], ['月日起', 'TIME'], ['分别', 'd'], ['暂停', 'v'], ['上述', 'a'], ['航班', 'n'], ['运行', 'v'], ['周', 'PER']]"
9,"现在我们怀疑，修花坛破了郑州的龙脉<span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span>所以最近又是雨又是风，现在疫情",0,"[['现在', 'TIME'], ['我们', 'r'], ['怀疑', 'v'], ['修', 'v'], ['花坛', 'n'], ['破', 'v'], ['郑州', 'LOC'], ['龙脉', 'n'], ['二哈', 'nt'], ['所以', 'c'], ['最近', 'TIME'], ['又', 'd'], ['是', 'v'], ['雨', 'n'], ['又', 'd'], ['是', 'v'], ['风', 'PER'], ['现在', 'TIME'], ['疫情', 'n']]"
