_id,comment
0,"经济，平等，胜利。<span class=""url-icon""><img alt=[吃瓜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png"" style=""width:1em; height:1em;"" /></span>//<a href='/n/被胁迫开微博'>@被胁迫开微博</a>:打仗不应该首先考虑成本和收益吗，祭出大杀器的收益在哪里"
1,普京好难，一个人支撑摇摇欲坠的俄罗斯这么多年。70岁了赌上一切看能不能给俄罗斯换换国运。听闻俄年轻人反战的很多，崇洋媚外。真不敢想象没有普京的俄罗斯会成啥样。欧洲那些政客给普京提鞋都不配。
2,"同情乌克兰，支持俄罗斯，这是必须要坚持的事，不然下一个轮到我们了<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span>"
3,你这设想太大胆，我始终认为要动用核武器的可能性永远在1%以下，因为一旦用了我感觉美国一定会亲自下场在乌克兰对轰，而且核武器用的地方大概率也不是乌克兰而是美国本土，那美俄都开干了，你觉得我们能像现在这样保持克制呼吁和平，我觉得绝不可能了。
4,"我们不能从中国人的民族性去思考问题，而是要从俄罗斯人的民族性去思考问题，所以结论就是——要老子认怂大不了同归于尽<span class=""url-icon""><img alt=[怒] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
5,打仗不应该首先考虑成本和收益吗，祭出大杀器的收益在哪里
6,"欧洲将倒退回石器时代<span class=""url-icon""><img alt=[阴险] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yinxian-e47eb7711d.png"" style=""width:1em; height:1em;"" /></span>"
7,"所以，见证历史嘛？<span class=""url-icon""><img alt=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" style=""width:1em; height:1em;"" /></span>"
8,"世界的事件发展往往超出我们的想象<span class=""url-icon""><img alt=[跪了] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_guile-a8a737d3a0.png"" style=""width:1em; height:1em;"" /></span>"
9,"奶爸别奶，好害怕<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
10,中国撑一下毛子，毛子经济还能顶几个月吧？
11,严重同意，要出大杀器了
12,俄罗斯有自己的农业，自己的石油，最近期货大涨，也赚了不少钱，为什么敢去打，来中国一趟，肯定谈好了，有中国的支持，普京就只想到打闪电战？没想打不下来怎么办？
13,"最近要不要吃点想吃没吃过的美食<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>怕以后没机会了"
14,牌桌四人，富美老欧二毛大毛三关一局面，老欧牌面稍好在给二毛喂牌，大毛底牌不好硬抗随时有掀桌子的想法，富美牌面最好，坐山观虎斗，时不时暗戳戳地递眼色。。。东东没上桌，看不惯三家关一家，但又不愿牌桌掀翻，桌上的人一直想拉站着的东东上桌。
15,看了很多灾难电影，现在这种真实感的无力感，近在眼前。
16,我们会怎么办？支持大毛吗？
17,想多了，白等说要么制裁要么三站，就是制裁的意识
18,重新编辑了一下，没法改就放评论区里了。
19,不好意思，我觉得你应该删了，或者重发。请你想下，如果你因为一个大v优质的内容和观点，关注了他。但有一天，发现他发的内容里面信息有误，而他在知道的前提下，觉得没什么问题。要是你，会对这个大v有不好的看法，甚至取关吗？
20,图片评论
21,不想多说，自己看。
22,"这位兄弟说的挺透彻，但我就想请问一句，普京怎么算赢？占领乌克兰全境算吧，把乌克兰划入俄罗斯版图算吧，但这种情况下俄罗斯会赢的所谓喘息的机会吗？答案是不会，因为普京占了贫穷的欧美不想要的乌克兰，换来了欧美史上最严的经济制裁，俄国的经济会完蛋，也许这才是欧美精英希望看到的<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
23,"这是一篇吃饱了撑的没事干扯犊子的文章。还好意思重新编辑再发一次<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
24,你是被充值了还是缺乏正确的世界观？最怕的就是你这种以为自己最清醒的熟睡者
25,"侵略者<span class=""url-icon""><img alt=[弱] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-d444cceb19.png"" style=""width:1em; height:1em;"" /></span>"
26,二十年也发展不起来还要怪罪外因，这样的强人不要也罢
27,希特勒也是这么想的
28,"说的在理，居然有些泪目了<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
29,什么叫“大不了地球online服务器重启”，几十亿年的生命进化，几百万年的人类演化史，几千年的文明史，在某些人心中是“没什么大不了的事情”？
30,从历史上看，从沙俄到苏联到俄罗斯，一直都在扩张；瑞典、芬兰、波兰、东欧、土耳其、中国（新疆、贝加尔湖、库页岛）、日本，哪个不被丫占便宜；还整天说遭迫害、麻辣隔壁的，流氓成性了！
31,瓦了俄罗斯，中国也会受到西方国家的更大威胁
32,百年未有之大变局
33,“作为一个俄罗斯公民 也是国家元首 没了俄罗斯要这世界干嘛？”这话我觉得没毛病啊 我作为一个中国人 没了祖国要这世界干嘛？
34,这种还不叫法西斯，捆绑全人类，为什么要防止核武器扩散就是因为怕核武器被这种流氓国家使用。
35,反战也要看情况，某些无脑的反战人事你以为俄罗斯没事找事吗，现在世界上北约和中俄就是对立的，俄罗斯如果输了，我们国家就会受到更大的威胁，你们还能在这叽叽歪歪的发这些打击侵略者之类云云，到时候俄罗斯解体，北约把炮筒装在我们家门口你们再在这反战你认为北约会仁慈吗说你们是猪脑子都是侮辱猪
36,什么叫普京政治豪赌? 你的意思?  普京是为了个人政治利益?   发动俄乌战争，你TM扯吧，真你TMD垃圾。
37,"你是认真的吗？2000年俄罗斯人均1771美元，2020年人均10062美元。这也叫衰退吗<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
38,写得不错，枭雄迟暮的感觉
39,不能说这种思维是正确的，只是无论哪个国家，都几乎不可能不用这种思维去思考。我听不明白国内谴责俄罗斯的人，到底怎么想的，难怪要有所谓的认知战……
40,俄罗斯这20年没有诞生一家独角兽企业，全国靠能源吃饭，没有新的经济增长点，没有新的技术创新和商业模式，卢布的结算能力都在被毁灭中，这个国家可以说已经没有未来了。
41,战争的发起者不是俄罗斯，你要明白这一点。
42,尔曹身与名俱灭，不废江河万古流
43,不打下场也很惨，如果不是某国步步紧逼，不会有这场战争
